id,label,sentence,label_des,true_label,pred_label,true_label_des,pred_label_des,true_prob,pred_prob,prob_gap,is_correct
10000,103,就一个吸汗带很便宜的呀,买家咨询退换货地址,103,60,买家咨询退换货地址,买家咨询活动规则,0.006296737119555473,0.10316196829080582,0.09686523117125034,False
10001,38,需要也不在你家买了，老顾客都不优惠,买家讨价还价,38,15,买家讨价还价,买家表示是老顾客,0.056357771158218384,0.24373358488082886,0.18737581372261047,False
10003,29,到了2天了不送,买家催促发货,29,110,买家催促发货,买家咨询退款时间,0.026574907824397087,0.09282093495130539,0.0662460271269083,False
10012,50,现在还有别的活动吗,买家要求延迟发货,50,99,买家要求延迟发货,买家咨询是否有活动,0.0025455497670918703,0.33456140756607056,0.3320158577989787,False
10015,86,昨天快递没有发出去吗,买家咨询商品是否有赠品,86,29,买家咨询商品是否有赠品,买家催促发货,0.0026170893106609583,0.12475413829088211,0.12213704898022115,False
10018,71,我退货没有吊牌可以吗,买家咨询如何领取优惠券,71,104,买家咨询如何领取优惠券,买家咨询退换货规则,0.006217468064278364,0.3054770529270172,0.29925958486273885,False
10019,31,我退了吧  有点不需要了,买家打招呼,31,3,买家打招呼,买家表示不想要了,0.003632939187809825,0.48471400141716003,0.4810810622293502,False
10020,22,最大才两个加  小了能退吗,买家表示需要退货退款,22,108,买家表示需要退货退款,买家咨询退款金额,0.03774581849575043,0.1424485594034195,0.10470274090766907,False
10023,97,那这个运费要怎么退我？,买家咨询是否可以指定快递,97,48,买家咨询是否可以指定快递,买家要求退运费,0.0015351647743955255,0.3325228691101074,0.3309877043357119,False
10024,69,我把牛仔裤码数拍错了,买家咨询偏远地区是否发货,69,9,买家咨询偏远地区是否发货,买家表示拍错了,0.0028420884627848864,0.6819169521331787,0.6790748636703938,False
10025,7,我先买两盒尝尝味道,买家表示麻烦卖家，表达感谢,7,21,买家表示麻烦卖家，表达感谢,买家表示先买来试试,0.0023416848853230476,0.5143349170684814,0.5119932321831584,False
10028,62,拍这两件最低什么价格,买家咨询买多件能否优惠,62,38,买家咨询买多件能否优惠,买家讨价还价,0.22071819007396698,0.36622515320777893,0.14550696313381195,False
10032,6,可以叠加吧,买家表示具体时间寄回去,6,112,买家表示具体时间寄回去,买家咨询优惠券使用规则,0.0027973067481070757,0.11221994459629059,0.10942263784818351,False
10035,13,这条给你寄过去嘛,买家表示商品已经寄回去了,13,6,买家表示商品已经寄回去了,买家表示具体时间寄回去,0.1415075659751892,0.26330065727233887,0.12179309129714966,False
10041,1,你们发错了搞得很麻烦,买家表达不满/生气,1,12,买家表达不满/生气,买家表示商家发错货了,0.03768902271986008,0.09510360658168793,0.05741458386182785,False
10042,51,麻烦给我两个快递一起发,买家要求延长收货时间,51,66,买家要求延长收货时间,买家咨询能否分开/一起发货,0.0028744803275913,0.472135066986084,0.4692605866584927,False
10044,49,帮我改下电话号码19957703173,买家要求修改收件信息,49,37,买家要求修改收件信息,买家确认地址是否修改成功,0.15886591374874115,0.1780678778886795,0.019201964139938354,False
10046,115,就是这样子的,买家咨询赠品何时发货,115,5,买家咨询赠品何时发货,买家表示好的,0.012386788614094257,0.25121009349823,0.23882330488413572,False
10048,79,亲，这个五斤有多少袋,买家咨询商品规格数量,79,90,买家咨询商品规格数量,买家咨询商品重量,0.14831963181495667,0.1710423082113266,0.022722676396369934,False
10052,43,亲受累给我改下码,买家要求改商品信息,43,94,买家要求改商品信息,买家咨询是否可以改价,0.16729934513568878,0.2334481179714203,0.0661487728357315,False
10053,78,米白色有色差没,买家咨询商品的色差问题,78,88,买家咨询商品的色差问题,买家咨询商品是什么颜色,0.20170331001281738,0.32869917154312134,0.12699586153030396,False
10055,62,亲，以前买的发票帮忙开了好哇,买家咨询买多件能否优惠,62,67,买家咨询买多件能否优惠,买家咨询能否开发票及发票类型和寄送时间,0.0032487825956195593,0.44780150055885315,0.4445527179632336,False
10056,73,那邮费是不是我自己出,买家咨询商家发货地,73,105,买家咨询商家发货地,买家咨询退换货运费由谁承担,0.008259297348558903,0.35503771901130676,0.34677842166274786,False
10058,31,能发邮政快递吗,买家打招呼,31,97,买家打招呼,买家咨询是否可以指定快递,0.0008551039500162005,0.347504198551178,0.3466490946011618,False
10068,79,99元多少片啊,买家咨询商品规格数量,79,80,买家咨询商品规格数量,买家咨询商品价格,0.0300466138869524,0.4075770378112793,0.3775304239243269,False
10070,33,我都要睡觉了 /:065,买家发送结束语,33,25,买家发送结束语,买家表示已下单付款,0.01960749737918377,0.1288899928331375,0.10928249545395374,False
10071,1,问题是要不就卡不进去，要不就拖出来，我也是醉了,买家表达不满/生气,1,36,买家表达不满/生气,买家反馈收到的商品有问题,0.09416110813617706,0.12189594656229019,0.02773483842611313,False
10075,6,78的啥材质的,买家表示具体时间寄回去,6,77,买家表示具体时间寄回去,买家咨询商品的材质/面料,0.0045331488363444805,0.21891286969184875,0.21437972085550427,False
10076,84,我这个寄回去要我自己出邮费吗,买家咨询商品是不是预售款,84,105,买家咨询商品是不是预售款,买家咨询退换货运费由谁承担,0.004165476653724909,0.41199520230293274,0.40782972564920783,False
10077,80,我怕买回来不好看，想换又要出运费？,买家咨询商品价格,80,105,买家咨询商品价格,买家咨询退换货运费由谁承担,0.01095764059573412,0.2095080018043518,0.1985503612086177,False
10079,103,哦，有质量保证了啊,买家咨询退换货地址,103,89,买家咨询退换货地址,买家咨询商品质量是否有保障,0.0006388642359524965,0.7205042243003845,0.719865360064432,False
10080,97,麻烦发韵达  谢谢,买家咨询是否可以指定快递,97,106,买家咨询是否可以指定快递,买家咨询退换货支持快递,0.09059766680002213,0.09860097616910934,0.00800330936908722,False
10082,90,36.6元有多少斤,买家咨询商品重量,90,81,买家咨询商品重量,买家咨询商品具体尺码尺寸,0.13674744963645935,0.15790794789791107,0.02116049826145172,False
10084,90,您好，请发中通快递,买家咨询商品重量,90,106,买家咨询商品重量,买家咨询退换货支持快递,0.0016916391905397177,0.3287142217159271,0.3270225825253874,False
10086,60,优惠3块怎么优惠,买家咨询活动规则,60,62,买家咨询活动规则,买家咨询买多件能否优惠,0.01813584193587303,0.39016279578208923,0.3720269538462162,False
10088,5,两件是5折吗,买家表示好的,5,92,买家表示好的,买家咨询是否可以打折,0.0010520558571442962,0.6480820775032043,0.64703002164606,False
10092,52,现在买还有双十一的优惠么,买家咨询补货/上货时间,52,99,买家咨询补货/上货时间,买家咨询是否有活动,0.002651133807376027,0.2988540828227997,0.29620294901542366,False
10094,26,我申请退款了 你们看一下,买家表示优惠券无法使用,26,22,买家表示优惠券无法使用,买家表示需要退货退款,0.0011454618070274591,0.44655641913414,0.44541095732711256,False
10095,22,买的衣服大了  想把这个退掉,买家表示需要退货退款,22,46,买家表示需要退货退款,买家要求取消退换货退款,0.10510337352752686,0.3058813810348511,0.20077800750732422,False
10096,60,这个福袋啥时候活动结束？,买家咨询活动规则,60,99,买家咨询活动规则,买家咨询是否有活动,0.018423056229948997,0.23551121354103088,0.2170881573110819,False
10107,15,这款在双十二有活动吗,买家表示是老顾客,15,99,买家表示是老顾客,买家咨询是否有活动,0.002222497249022126,0.49075761437416077,0.48853511712513864,False
10115,64,1Kg是多少个,买家咨询能否到付,64,79,买家咨询能否到付,买家咨询商品规格数量,0.0032566057052463293,0.4329153597354889,0.42965875403024256,False
10116,43,这是不是第二份半价了,买家要求改商品信息,43,60,买家要求改商品信息,买家咨询活动规则,0.0020967498421669006,0.25282469391822815,0.25072794407606125,False
10119,34,那哦哦，谢谢了,买家发送开票信息,34,7,买家发送开票信息,买家表示麻烦卖家，表达感谢,0.0024119967129081488,0.5371084213256836,0.5346964246127754,False
10121,82,为什么这件衣服色差怎么大,买家咨询商品区别,82,78,买家咨询商品区别,买家咨询商品的色差问题,0.007440815679728985,0.3384706974029541,0.3310298817232251,False
10124,50,裤子号码选错了,买家要求延迟发货,50,9,买家要求延迟发货,买家表示拍错了,0.001550698303617537,0.6092664003372192,0.6077157020336017,False
10125,28,之前买的很硬,买家表示再看看,28,36,买家表示再看看,买家反馈收到的商品有问题,0.0051306309178471565,0.1796969771385193,0.17456634622067213,False
10126,6,人呢，出来说话啊,买家表示具体时间寄回去,6,5,买家表示具体时间寄回去,买家表示好的,0.004012273158878088,0.14970847964286804,0.14569620648398995,False
10127,55,你们店也太搞笑了吧,买家咨询发什么快递,55,1,买家咨询发什么快递,买家表达不满/生气,0.0037153707817196846,0.63335782289505,0.6296424521133304,False
10129,31,沒人理,买家打招呼,31,30,买家打招呼,买家催促回复,0.01981581188738346,0.25141388177871704,0.23159806989133358,False
10131,49,你好:改下地址,买家要求修改收件信息,49,16,买家要求修改收件信息,买家表示收件信息不需要修改了,0.21678298711776733,0.21720629930496216,0.0004233121871948242,False
10135,88,那是不能买哦,买家咨询商品是什么颜色,88,19,买家咨询商品是什么颜色,买家表示无法下单,0.002541884081438184,0.43512171506881714,0.43257983098737895,False
10145,14,是需要定制的吗,买家表示稍等,14,65,买家表示稍等,买家咨询能否定制,0.006139869801700115,0.40585991740226746,0.39972004760056734,False
10150,23,亲我想退货重新下单,买家表示要重拍,23,22,买家表示要重拍,买家表示需要退货退款,0.12733668088912964,0.27488622069358826,0.14754953980445862,False
