label,label_des,support,correct,errors,class_accuracy
95,买家咨询是否可以拒收,8,0,8,0.0
18,买家表示无法申请退款,6,0,6,0.0
63,买家咨询哪款更好,6,0,6,0.0
115,买家咨询赠品何时发货,6,0,6,0.0
45,买家要求核对订单信息,5,0,5,0.0
34,买家发送开票信息,4,0,4,0.0
100,买家咨询是否有买家秀,4,0,4,0.0
68,买家咨询能否提前享受优惠,3,0,3,0.0
70,买家咨询如何加入会员,3,0,3,0.0
91,买家咨询什么颜色好看,3,0,3,0.0
117,买家咨询自己的旺旺昵称,3,0,3,0.0
11,买家表示商家发错地址,2,0,2,0.0
107,买家咨询退货退款原因选什么,2,0,2,0.0
116,买家咨询赠品是否可以自选,2,0,2,0.0
101,买家咨询是否有实体店,1,0,1,0.0
10,买家表示伤心难过,7,1,6,0.14285714285714285
33,买家发送结束语,7,1,6,0.14285714285714285
42,买家要求发货检查,6,1,5,0.16666666666666666
6,买家表示具体时间寄回去,10,2,8,0.2
83,买家咨询商品上新时间,5,1,4,0.2
13,买家表示商品已经寄回去了,12,3,9,0.25
37,买家确认地址是否修改成功,8,2,6,0.25
17,买家表示送人的,7,2,5,0.2857142857142857
27,买家表示有疑问/不理解,7,2,5,0.2857142857142857
57,买家咨询返现金额,10,3,7,0.3
80,买家咨询商品价格,12,4,8,0.3333333333333333
73,买家咨询商家发货地,9,3,6,0.3333333333333333
8,买家表示马上下单付款,6,2,4,0.3333333333333333
56,买家咨询返现方式,11,4,7,0.36363636363636365
16,买家表示收件信息不需要修改了,8,3,5,0.375
76,买家咨询商品产地,8,3,5,0.375
40,买家需要商品推荐,13,5,8,0.38461538461538464
47,买家要求添加商家微信,10,4,6,0.4
5,买家表示好的,19,8,11,0.42105263157894735
43,买家要求改商品信息,19,8,11,0.42105263157894735
111,买家咨询物流信息,26,11,15,0.4230769230769231
4,买家表示地址正确,14,6,8,0.42857142857142855
30,买家催促回复,9,4,5,0.4444444444444444
108,买家咨询退款金额,9,4,5,0.4444444444444444
69,买家咨询偏远地区是否发货,11,5,6,0.45454545454545453
21,买家表示先买来试试,13,6,7,0.46153846153846156
98,买家咨询是否有好评返现,18,9,9,0.5
0,买家抱怨商品涨价了,12,6,6,0.5
55,买家咨询发什么快递,12,6,6,0.5
64,买家咨询能否到付,10,5,5,0.5
81,买家咨询商品具体尺码尺寸,10,5,5,0.5
51,买家要求延长收货时间,8,4,4,0.5
35,买家发送支付宝账号,6,3,3,0.5
41,买家要求补偿,4,2,2,0.5
84,买家咨询商品是不是预售款,4,2,2,0.5
72,买家咨询如何下单,13,7,6,0.5384615384615384
14,买家表示稍等,20,11,9,0.55
