id,label,sentence,label_des,original_label
0,57,那我收到货之后您再给我退200元？,买家咨询返现金额,57
1,16,那你帮我改地址行吗,买家表示收件信息不需要修改了,16
2,60,第二个和第四个选项有啥区别,买家咨询活动规则,60
3,104,怎么退的呢,买家咨询退换货规则,104
4,57,请问这个有收据吗,买家咨询返现金额,57
5,50,能不发韵达  百世吗,买家要求延迟发货,50
6,49,改的个地址,买家要求修改收件信息,16
7,94,用模版三的刻字可以吗,买家咨询是否可以改价,94
8,111,查一下什么时候,买家咨询物流信息,111
9,111,直接寄麽,买家咨询物流信息,111
10,82,亲.床笠款和床单款有什么区别啊,买家咨询商品区别,82
11,29,咱们这下单了什么时候发货啊,买家催促发货,29
12,47,这款238和248什么区别,买家要求添加商家微信,47
13,79,一斤大概有多少个,买家咨询商品规格数量,79
14,105,这个回来要是退货或者调换，运费谁出,买家咨询退换货运费由谁承担,105
15,75,这个还送收纳箱吗,买家咨询商品包装,75
16,9,老客户了你家,买家表示拍错了,9
17,49,帮我改一下地址 错了,买家要求修改收件信息,49
18,102,亲这个有味道吗需要放味吗,买家咨询是否有味道,102
19,46,你好我想取消订单，麻烦处理一下,买家要求取消退换货退款,46
20,56,发你自己的支付宝,买家咨询返现方式,56
21,90,这个一份是多少克呢,买家咨询商品重量,90
22,97,能指定发邮政，我下单,买家咨询是否可以指定快递,97
23,97,我想送其他快递，我们这儿只有中通，邮政能到呢,买家咨询是否可以指定快递,86
24,79,一个多重啊,买家咨询商品规格数量,79
25,86,呵呵，再送一个呗,买家咨询商品是否有赠品,86
26,97,无语嘞,买家咨询是否可以指定快递,97
27,90,虾仁净重到底多少,买家咨询商品重量,90
28,97,湖南长沙市雨花亭融科三万英尺8栋 吴女士 13875836303,买家咨询是否可以指定快递,97
29,52,白色的什么时候有呢,买家咨询补货/上货时间,52
30,1,这真的很过分了。,买家表达不满/生气,1
31,94,可以帮我宝贝改一下价格吗？,买家咨询是否可以改价,94
32,65,可以定制的对吗？,买家咨询能否定制,65
33,112,双十一的优惠券和会员积分兑换的优惠券可以叠加吗,买家咨询优惠券使用规则,112
34,49,我想改一下地址可以嘛,买家要求修改收件信息,49
35,98,寄回去的运费我先垫付是吗,买家咨询是否有好评返现,98
36,10,试吃装几个,买家表示伤心难过,10
37,97,能发邮政不,买家咨询是否可以指定快递,97
38,11,你给我的东西地址发错了,买家表示商家发错地址,11
39,89,要二个保证质量发货,买家咨询商品质量是否有保障,89
40,18,买一罐送两罐？,买家表示无法申请退款,18
41,22,买多了，我申请退款了，麻烦处理一下！,买家表示需要退货退款,22
42,49,请问这款年糕有推荐的酱料么,买家要求修改收件信息,49
43,46,咋搞的，要不退了,买家要求取消退换货退款,46
44,18,我可以从新拍吗,买家表示无法申请退款,18
45,29,亲怎么还没发货都过了两天了,买家催促发货,29
46,29,真慢啊，都十几天了，再不发就准备退货了,买家催促发货,29
47,22,没有按会员价付款的已经申请退款了，请处理一下,买家表示需要退货退款,22
48,93,这个一包多重,买家咨询是否可以发顺丰,93
