label,pred_label,count,true_label_des,pred_label_des,true_support,confusion_rate
60,86,14,买家咨询活动规则,买家咨询商品是否有赠品,119,0.11764705882352941
82,112,9,买家咨询商品区别,买家咨询优惠券使用规则,76,0.11842105263157894
60,38,9,买家咨询活动规则,买家讨价还价,119,0.07563025210084033
99,62,7,买家咨询是否有活动,买家咨询买多件能否优惠,47,0.14893617021276595
60,99,7,买家咨询活动规则,买家咨询是否有活动,119,0.058823529411764705
111,20,6,买家咨询物流信息,买家表示物流太慢了,26,0.23076923076923078
22,46,5,买家表示需要退货退款,买家要求取消退换货退款,37,0.13513513513513514
82,47,5,买家咨询商品区别,买家要求添加商家微信,76,0.06578947368421052
98,58,4,买家咨询是否有好评返现,买家咨询返现时间,18,0.2222222222222222
29,54,4,买家催促发货,买家咨询发货时间,35,0.11428571428571428
49,43,4,买家要求修改收件信息,买家要求改商品信息,47,0.0851063829787234
1,107,4,买家表达不满/生气,买家咨询退货退款原因选什么,60,0.06666666666666667
37,49,3,买家确认地址是否修改成功,买家要求修改收件信息,8,0.375
57,108,3,买家咨询返现金额,买家咨询退款金额,10,0.3
43,94,3,买家要求改商品信息,买家咨询是否可以改价,19,0.15789473684210525
48,105,3,买家要求退运费,买家咨询退换货运费由谁承担,19,0.15789473684210525
31,47,3,买家打招呼,买家要求添加商家微信,24,0.125
105,113,3,买家咨询退换货运费由谁承担,买家咨询运费金额,34,0.08823529411764706
54,29,3,买家咨询发货时间,买家催促发货,39,0.07692307692307693
97,106,3,买家咨询是否可以指定快递,买家咨询退换货支持快递,47,0.06382978723404255
99,60,3,买家咨询是否有活动,买家咨询活动规则,47,0.06382978723404255
73,69,2,买家咨询商家发货地,买家咨询偏远地区是否发货,9,0.2222222222222222
57,65,2,买家咨询返现金额,买家咨询能否定制,10,0.2
64,79,2,买家咨询能否到付,买家咨询商品规格数量,10,0.2
69,2,2,买家咨询偏远地区是否发货,买家表达赞美/满意,11,0.18181818181818182
13,59,2,买家表示商品已经寄回去了,买家咨询换货发货时间,12,0.16666666666666666
55,97,2,买家咨询发什么快递,买家咨询是否可以指定快递,12,0.16666666666666666
