true_label,true_label_des,pred_label,pred_label_des,count
97,买家咨询是否可以指定快递,106,买家咨询退换货支持快递,14
60,买家咨询活动规则,99,买家咨询是否有活动,13
49,买家要求修改收件信息,37,买家确认地址是否修改成功,11
99,买家咨询是否有活动,62,买家咨询买多件能否优惠,9
60,买家咨询活动规则,86,买家咨询商品是否有赠品,9
49,买家要求修改收件信息,4,买家表示地址正确,6
79,买家咨询商品规格数量,80,买家咨询商品价格,5
78,买家咨询商品的色差问题,88,买家咨询商品是什么颜色,4
90,买家咨询商品重量,81,买家咨询商品具体尺码尺寸,4
22,买家表示需要退货退款,46,买家要求取消退换货退款,4
49,买家要求修改收件信息,16,买家表示收件信息不需要修改了,4
60,买家咨询活动规则,80,买家咨询商品价格,4
90,买家咨询商品重量,75,买家咨询商品包装,4
60,买家咨询活动规则,14,买家表示稍等,4
80,买家咨询商品价格,113,买家咨询运费金额,4
111,买家咨询物流信息,20,买家表示物流太慢了,4
54,买家咨询发货时间,29,买家催促发货,4
57,买家咨询返现金额,108,买家咨询退款金额,4
22,买家表示需要退货退款,108,买家咨询退款金额,3
43,买家要求改商品信息,94,买家咨询是否可以改价,3
31,买家打招呼,30,买家催促回复,3
105,买家咨询退换货运费由谁承担,113,买家咨询运费金额,3
49,买家要求修改收件信息,43,买家要求改商品信息,3
60,买家咨询活动规则,38,买家讨价还价,3
29,买家催促发货,54,买家咨询发货时间,3
103,买家咨询退换货地址,60,买家咨询活动规则,2
86,买家咨询商品是否有赠品,29,买家催促发货,2
62,买家咨询买多件能否优惠,38,买家讨价还价,2
13,买家表示商品已经寄回去了,6,买家表示具体时间寄回去,2
33,买家发送结束语,25,买家表示已下单付款,2
60,买家咨询活动规则,62,买家咨询买多件能否优惠,2
60,买家咨询活动规则,41,买家要求补偿,2
3,买家表示不想要了,62,买家咨询买多件能否优惠,2
72,买家咨询如何下单,7,买家表示麻烦卖家，表达感谢,2
29,买家催促发货,46,买家要求取消退换货退款,2
33,买家发送结束语,28,买家表示再看看,2
105,买家咨询退换货运费由谁承担,48,买家要求退运费,2
25,买家表示已下单付款,86,买家咨询商品是否有赠品,2
1,买家表达不满/生气,2,买家表达赞美/满意,2
3,买家表示不想要了,8,买家表示马上下单付款,2
57,买家咨询返现金额,65,买家咨询能否定制,2
88,买家咨询商品是什么颜色,22,买家表示需要退货退款,2
65,买家咨询能否定制,102,买家咨询是否有味道,2
9,买家表示拍错了,39,买家向商家表达不好意思,2
1,买家表达不满/生气,33,买家发送结束语,2
40,买家需要商品推荐,15,买家表示是老顾客,2
74,买家咨询商家是否收到寄回的商品,110,买家咨询退款时间,2
60,买家咨询活动规则,71,买家咨询如何领取优惠券,2
55,买家咨询发什么快递,69,买家咨询偏远地区是否发货,2
80,买家咨询商品价格,82,买家咨询商品区别,2
4,买家表示地址正确,106,买家咨询退换货支持快递,2
1,买家表达不满/生气,20,买家表示物流太慢了,2
109,买家咨询退款去向,56,买家咨询返现方式,2
104,买家咨询退换货规则,43,买家要求改商品信息,2
110,买家咨询退款时间,108,买家咨询退款金额,2
31,买家打招呼,15,买家表示是老顾客,2
104,买家咨询退换货规则,105,买家咨询退换货运费由谁承担,2
104,买家咨询退换货规则,22,买家表示需要退货退款,2
42,买家要求发货检查,89,买家咨询商品质量是否有保障,2
99,买家咨询是否有活动,60,买家咨询活动规则,2
16,买家表示收件信息不需要修改了,37,买家确认地址是否修改成功,2
40,买家需要商品推荐,36,买家反馈收到的商品有问题,2
69,买家咨询偏远地区是否发货,15,买家表示是老顾客,2
22,买家表示需要退货退款,29,买家催促发货,2
92,买家咨询是否可以打折,60,买家咨询活动规则,2
113,买家咨询运费金额,105,买家咨询退换货运费由谁承担,2
8,买家表示马上下单付款,15,买家表示是老顾客,2
86,买家咨询商品是否有赠品,82,买家咨询商品区别,2
97,买家咨询是否可以指定快递,20,买家表示物流太慢了,2
38,买家讨价还价,15,买家表示是老顾客,1
29,买家催促发货,110,买家咨询退款时间,1
50,买家要求延迟发货,99,买家咨询是否有活动,1
71,买家咨询如何领取优惠券,104,买家咨询退换货规则,1
31,买家打招呼,3,买家表示不想要了,1
97,买家咨询是否可以指定快递,48,买家要求退运费,1
69,买家咨询偏远地区是否发货,9,买家表示拍错了,1
7,买家表示麻烦卖家，表达感谢,21,买家表示先买来试试,1
6,买家表示具体时间寄回去,112,买家咨询优惠券使用规则,1
1,买家表达不满/生气,12,买家表示商家发错货了,1
51,买家要求延长收货时间,66,买家咨询能否分开/一起发货,1
115,买家咨询赠品何时发货,5,买家表示好的,1
79,买家咨询商品规格数量,90,买家咨询商品重量,1
62,买家咨询买多件能否优惠,67,买家咨询能否开发票及发票类型和寄送时间,1
73,买家咨询商家发货地,105,买家咨询退换货运费由谁承担,1
31,买家打招呼,97,买家咨询是否可以指定快递,1
1,买家表达不满/生气,36,买家反馈收到的商品有问题,1
6,买家表示具体时间寄回去,77,买家咨询商品的材质/面料,1
84,买家咨询商品是不是预售款,105,买家咨询退换货运费由谁承担,1
80,买家咨询商品价格,105,买家咨询退换货运费由谁承担,1
103,买家咨询退换货地址,89,买家咨询商品质量是否有保障,1
90,买家咨询商品重量,106,买家咨询退换货支持快递,1
5,买家表示好的,92,买家咨询是否可以打折,1
52,买家咨询补货/上货时间,99,买家咨询是否有活动,1
26,买家表示优惠券无法使用,22,买家表示需要退货退款,1
15,买家表示是老顾客,99,买家咨询是否有活动,1
64,买家咨询能否到付,79,买家咨询商品规格数量,1
43,买家要求改商品信息,60,买家咨询活动规则,1
34,买家发送开票信息,7,买家表示麻烦卖家，表达感谢,1
82,买家咨询商品区别,78,买家咨询商品的色差问题,1
50,买家要求延迟发货,9,买家表示拍错了,1
28,买家表示再看看,36,买家反馈收到的商品有问题,1
6,买家表示具体时间寄回去,5,买家表示好的,1
55,买家咨询发什么快递,1,买家表达不满/生气,1
88,买家咨询商品是什么颜色,19,买家表示无法下单,1
14,买家表示稍等,65,买家咨询能否定制,1
23,买家表示要重拍,22,买家表示需要退货退款,1
48,买家要求退运费,57,买家咨询返现金额,1
50,买家要求延迟发货,51,买家要求延长收货时间,1
95,买家咨询是否可以拒收,77,买家咨询商品的材质/面料,1
86,买家咨询商品是否有赠品,97,买家咨询是否可以指定快递,1
47,买家要求添加商家微信,113,买家咨询运费金额,1
38,买家讨价还价,50,买家要求延迟发货,1
79,买家咨询商品规格数量,71,买家咨询如何领取优惠券,1
78,买家咨询商品的色差问题,60,买家咨询活动规则,1
13,买家表示商品已经寄回去了,82,买家咨询商品区别,1
33,买家发送结束语,67,买家咨询能否开发票及发票类型和寄送时间,1
86,买家咨询商品是否有赠品,20,买家表示物流太慢了,1
70,买家咨询如何加入会员,106,买家咨询退换货支持快递,1
39,买家向商家表达不好意思,2,买家表达赞美/满意,1
108,买家咨询退款金额,19,买家表示无法下单,1
48,买家要求退运费,80,买家咨询商品价格,1
76,买家咨询商品产地,73,买家咨询商家发货地,1
91,买家咨询什么颜色好看,29,买家催促发货,1
4,买家表示地址正确,29,买家催促发货,1
63,买家咨询哪款更好,111,买家咨询物流信息,1
1,买家表达不满/生气,28,买家表示再看看,1
27,买家表示有疑问/不理解,58,买家咨询返现时间,1
69,买家咨询偏远地区是否发货,22,买家表示需要退货退款,1
27,买家表示有疑问/不理解,13,买家表示商品已经寄回去了,1
16,买家表示收件信息不需要修改了,97,买家咨询是否可以指定快递,1
2,买家表达赞美/满意,48,买家要求退运费,1
0,买家抱怨商品涨价了,67,买家咨询能否开发票及发票类型和寄送时间,1
86,买家咨询商品是否有赠品,87,买家咨询商品是否有质保，质保多久,1
15,买家表示是老顾客,39,买家向商家表达不好意思,1
107,买家咨询退货退款原因选什么,86,买家咨询商品是否有赠品,1
44,买家要求改运费,2,买家表达赞美/满意,1
115,买家咨询赠品何时发货,54,买家咨询发货时间,1
44,买家要求改运费,53,买家咨询到货时间,1
30,买家催促回复,102,买家咨询是否有味道,1
43,买家要求改商品信息,79,买家咨询商品规格数量,1
29,买家催促发货,15,买家表示是老顾客,1
41,买家要求补偿,97,买家咨询是否可以指定快递,1
25,买家表示已下单付款,89,买家咨询商品质量是否有保障,1
14,买家表示稍等,7,买家表示麻烦卖家，表达感谢,1
117,买家咨询自己的旺旺昵称,77,买家咨询商品的材质/面料,1
26,买家表示优惠券无法使用,54,买家咨询发货时间,1
99,买家咨询是否有活动,94,买家咨询是否可以改价,1
82,买家咨询商品区别,91,买家咨询什么颜色好看,1
85,买家咨询商品是否可以单买/单卖,111,买家咨询物流信息,1
7,买家表示麻烦卖家，表达感谢,67,买家咨询能否开发票及发票类型和寄送时间,1
52,买家咨询补货/上货时间,1,买家表达不满/生气,1
66,买家咨询能否分开/一起发货,103,买家咨询退换货地址,1
31,买家打招呼,82,买家咨询商品区别,1
10,买家表示伤心难过,82,买家咨询商品区别,1
15,买家表示是老顾客,111,买家咨询物流信息,1
21,买家表示先买来试试,82,买家咨询商品区别,1
3,买家表示不想要了,6,买家表示具体时间寄回去,1
1,买家表达不满/生气,98,买家咨询是否有好评返现,1
110,买家咨询退款时间,53,买家咨询到货时间,1
46,买家要求取消退换货退款,3,买家表示不想要了,1
12,买家表示商家发错货了,77,买家咨询商品的材质/面料,1
114,买家咨询运费险赔付规则,54,买家咨询发货时间,1
43,买家要求改商品信息,59,买家咨询换货发货时间,1
13,买家表示商品已经寄回去了,59,买家咨询换货发货时间,1
67,买家咨询能否开发票及发票类型和寄送时间,22,买家表示需要退货退款,1
21,买家表示先买来试试,8,买家表示马上下单付款,1
63,买家咨询哪款更好,49,买家要求修改收件信息,1
23,买家表示要重拍,110,买家咨询退款时间,1
92,买家咨询是否可以打折,29,买家催促发货,1
