id,sentence,old_label,old_label_des,new_label,new_label_des
9117,有什么区区别,78,买家咨询商品的色差问题,82,买家咨询商品区别
5456,这个可以定制吗,66,买家咨询能否分开/一起发货,65,买家咨询能否定制
6951,买一送一是半价还是买一送一,79,买家咨询商品规格数量,60,买家咨询活动规则
9245,开发票！,59,买家咨询换货发货时间,67,买家咨询能否开发票及发票类型和寄送时间
590,可定制字体？,94,买家咨询是否可以改价,65,买家咨询能否定制
4257,不要发圆通快递和邮政快递,1,买家表达不满/生气,97,买家咨询是否可以指定快递
8073,有啥区别吗,26,买家表示优惠券无法使用,82,买家咨询商品区别
5090,发票帮我开,71,买家咨询如何领取优惠券,67,买家咨询能否开发票及发票类型和寄送时间
4787,亲，可以指定发邮政快递吗？,81,买家咨询商品具体尺码尺寸,97,买家咨询是否可以指定快递
2365,送杯子不送勺子吗？,63,买家咨询哪款更好,86,买家咨询商品是否有赠品
4638,大小可以定制吗？,67,买家咨询能否开发票及发票类型和寄送时间,65,买家咨询能否定制
6742,改下地址,103,买家咨询退换货地址,49,买家要求修改收件信息
9640,9天了，快点发货,54,买家咨询发货时间,29,买家催促发货
5494,这个可以定制戳戳绣吗,77,买家咨询商品的材质/面料,65,买家咨询能否定制
9852,我们申请退款,110,买家咨询退款时间,22,买家表示需要退货退款
3280,谢谢谢谢呜呜呜,46,买家要求取消退换货退款,7,买家表示麻烦卖家，表达感谢
3020,别都是一样的,90,买家咨询商品重量,82,买家咨询商品区别
624,两种款式有什么区别,78,买家咨询商品的色差问题,82,买家咨询商品区别
2700,价格不一样的都有些什么区别,58,买家咨询返现时间,82,买家咨询商品区别
3084,电压有什么区别,58,买家咨询返现时间,82,买家咨询商品区别
9009,请问尺寸可以定制不,81,买家咨询商品具体尺码尺寸,65,买家咨询能否定制
7827,袋子可以定制吗？,49,买家要求修改收件信息,65,买家咨询能否定制
3535,你们可以定制吗,87,买家咨询商品是否有质保，质保多久,65,买家咨询能否定制
4357,亲这款是买一送一吗,106,买家咨询退换货支持快递,60,买家咨询活动规则
168,请问每袋虾净重是多少克,41,买家要求补偿,90,买家咨询商品重量
8209,这款是买一送一的吗,0,买家抱怨商品涨价了,60,买家咨询活动规则
2391,双十一有活动活动,31,买家打招呼,99,买家咨询是否有活动
5598,宽高可以定制吗,94,买家咨询是否可以改价,65,买家咨询能否定制
4595,能开发票哑巴,71,买家咨询如何领取优惠券,67,买家咨询能否开发票及发票类型和寄送时间
5419,就是买一送一,30,买家催促回复,60,买家咨询活动规则
3103,快递可以指定邮政嘛,1,买家表达不满/生气,97,买家咨询是否可以指定快递
2668,我申请退款了，你们同意一下。,50,买家要求延迟发货,22,买家表示需要退货退款
8658,保证质量么？,92,买家咨询是否可以打折,89,买家咨询商品质量是否有保障
5929,邮政吧,55,买家咨询发什么快递,97,买家咨询是否可以指定快递
6825,退运费险到了吗,104,买家咨询退换货规则,114,买家咨询运费险赔付规则
231,有区别吗,90,买家咨询商品重量,82,买家咨询商品区别
5453,一样的吗,47,买家要求添加商家微信,82,买家咨询商品区别
3938,不要发邮政跟百世,83,买家咨询商品上新时间,97,买家咨询是否可以指定快递
3741,不是可以定做吗,67,买家咨询能否开发票及发票类型和寄送时间,65,买家咨询能否定制
5736,有色差吗？颜色正吗,108,买家咨询退款金额,78,买家咨询商品的色差问题
8324,这个跟49.9的有什么区别,101,买家咨询是否有实体店,82,买家咨询商品区别
4132,这有啥区别吗,8,买家表示马上下单付款,82,买家咨询商品区别
291,这两种有什么区别？,66,买家咨询能否分开/一起发货,82,买家咨询商品区别
2292,快开发票,65,买家咨询能否定制,67,买家咨询能否开发票及发票类型和寄送时间
6902,今天能发货吗？,82,买家咨询商品区别,54,买家咨询发货时间
7664,请帮我发中通快递,103,买家咨询退换货地址,97,买家咨询是否可以指定快递
4164,这两款有什么么区别,61,买家咨询快递单号,82,买家咨询商品区别
2660,尺码可以定做吗,14,买家表示稍等,65,买家咨询能否定制
1221,我发票开了,71,买家咨询如何领取优惠券,67,买家咨询能否开发票及发票类型和寄送时间
3281,不好意思，地址错了，可以改地址吗？,77,买家咨询商品的材质/面料,49,买家要求修改收件信息
8178,其他快递远，可以指定韵达或者中通吗？,65,买家咨询能否定制,97,买家咨询是否可以指定快递
4346,帮我下开发票,30,买家催促回复,67,买家咨询能否开发票及发票类型和寄送时间
8171,这三样什么区别,91,买家咨询什么颜色好看,82,买家咨询商品区别
6205,发票一起开了,65,买家咨询能否定制,67,买家咨询能否开发票及发票类型和寄送时间
6278,质量保证吗,90,买家咨询商品重量,89,买家咨询商品质量是否有保障
8995,亲，这个是买二送一吗,92,买家咨询是否可以打折,60,买家咨询活动规则
2677,老板开发票,65,买家咨询能否定制,67,买家咨询能否开发票及发票类型和寄送时间
3287,买一送一减2元是啥,39,买家向商家表达不好意思,60,买家咨询活动规则
2239,申请退款？还是退货退款？,108,买家咨询退款金额,22,买家表示需要退货退款
4715,刺鼻不味道,28,买家表示再看看,102,买家咨询是否有味道
2560,哦 可以定制啊,97,买家咨询是否可以指定快递,65,买家咨询能否定制
1329,一件重新拍了,27,买家表示有疑问/不理解,23,买家表示要重拍
4248,有活动吗,46,买家要求取消退换货退款,99,买家咨询是否有活动
700,您好，帮开发票,59,买家咨询换货发货时间,67,买家咨询能否开发票及发票类型和寄送时间
2717,不改地址,37,买家确认地址是否修改成功,16,买家表示收件信息不需要修改了
8614,退货的运费险怎么退？,65,买家咨询能否定制,114,买家咨询运费险赔付规则
9173,买一送一是拍一份还是两份,99,买家咨询是否有活动,60,买家咨询活动规则
8748,指定中通，邮政不行吗,86,买家咨询商品是否有赠品,97,买家咨询是否可以指定快递
7700,快递麻烦帮我备注下发邮政,105,买家咨询退换货运费由谁承担,97,买家咨询是否可以指定快递
1061,快递走圆通或者是邮政,106,买家咨询退换货支持快递,97,买家咨询是否可以指定快递
3154,这俩有什么区别吗,60,买家咨询活动规则,82,买家咨询商品区别
2799,怎么申请退款,71,买家咨询如何领取优惠券,22,买家表示需要退货退款
7864,买一送一20个吗,86,买家咨询商品是否有赠品,60,买家咨询活动规则
8547,下单，第一个是买一送一吗？,0,买家抱怨商品涨价了,60,买家咨询活动规则
7392,申请退货了，帮我处理一下,112,买家咨询优惠券使用规则,22,买家表示需要退货退款
4380,不退了，能撤销吗,110,买家咨询退款时间,46,买家要求取消退换货退款
58,可以定制嘛？,105,买家咨询退换货运费由谁承担,65,买家咨询能否定制
6337,地址错了,17,买家表示送人的,49,买家要求修改收件信息
2595,69跟89有什么区别,84,买家咨询商品是不是预售款,82,买家咨询商品区别
23,我想送其他快递，我们这儿只有中通，邮政能到呢,86,买家咨询商品是否有赠品,97,买家咨询是否可以指定快递
4012,现在需要申请退款吗,115,买家咨询赠品何时发货,22,买家表示需要退货退款
9763,你好，椅子可以开发票吗？,59,买家咨询换货发货时间,67,买家咨询能否开发票及发票类型和寄送时间
6,改的个地址,16,买家表示收件信息不需要修改了,49,买家要求修改收件信息
903,快递发中通吗,107,买家咨询退货退款原因选什么,97,买家咨询是否可以指定快递
2256,这款双11是买一赠一吗,79,买家咨询商品规格数量,60,买家咨询活动规则
6472,看定位是从杭州发货的,28,买家表示再看看,73,买家咨询商家发货地
5760,和这款比有什么区别啊,112,买家咨询优惠券使用规则,82,买家咨询商品区别
611,拍错了 麻烦同意一下退款申请,29,买家催促发货,22,买家表示需要退货退款
837,今天拍，什么时候能发货啊,37,买家确认地址是否修改成功,54,买家咨询发货时间
4783,这款跟14元的有什么区别,88,买家咨询商品是什么颜色,82,买家咨询商品区别
6309,这个买一送一什么意思,58,买家咨询返现时间,60,买家咨询活动规则
4819,请问这是买一送一？,37,买家确认地址是否修改成功,60,买家咨询活动规则
9569,你们这种态度真的太过分了,72,买家咨询如何下单,1,买家表达不满/生气
1711,咱们店参加双十一跨店满减活动了吗,92,买家咨询是否可以打折,60,买家咨询活动规则
8275,床笠的和床单款有什么不一样,47,买家要求添加商家微信,82,买家咨询商品区别
8451,明天能发货吗,72,买家咨询如何下单,54,买家咨询发货时间
6197,这个多重,37,买家确认地址是否修改成功,90,买家咨询商品重量
