text,label,words,y_pred
0,体验2D巅峰 倚天屠龙记十大创新概览,8,体验 2D 巅峰   倚天 屠龙记 十大 创新 概览,8
1,60年铁树开花形状似玉米芯(组图),5,60 年 铁树开花 形状 似 玉米芯 ( 组图 ),9
2,同步A股首秀：港股缩量回调,2,同步 A股 首秀 ： 港股 缩量 回调,2
3,中青宝sg现场抓拍 兔子舞热辣表演,8,中青宝 sg 现场 抓拍   兔子 舞 热辣 表演,7
4,锌价难续去年辉煌,0,锌 价难续 去年 辉煌,4
5,2岁男童爬窗台不慎7楼坠下获救(图),5,2 岁 男童 爬 窗台 不慎 7 楼 坠下 获救 ( 图 ),5
6,布拉特：放球员一条生路吧 FIFA能消化俱乐部的攻击,7,布拉特 ： 放 球员 一条 生路 吧   FIFA 能 消化,7
7,金科西府 名墅天成,1,金科 西府   名墅 天成,1
8,状元心经：考前一周重点是回顾和整理,3,状元 心 经 ： 考前 一周 重点 是 回顾 和 整理,3
9,发改委治理涉企收费每年为企业减负超百亿,6,发改委 治理 涉企 收费 每年 为 企业 减负 超 百亿,6
10,一年网事扫荡10年纷扰开心网李鬼之争和平落幕,4,一年 网 事 扫荡 10 年 纷扰 开心 网 李鬼 之争 和,7
11,2010英国新政府“三把火”或影响留学业,3,2010 英国 新政府 “ 三 把 火 ” 或 影响 留学 ,3
12,俄达吉斯坦共和国一名区长被枪杀,6,俄 达吉斯坦 共和国 一名 区长 被 枪杀,9
13,朝鲜要求日本对过去罪行道歉和赔偿,6,朝鲜 要求 日本 对 过去 罪行 道歉 和 赔偿,6
14,《口袋妖怪 黑白》日本首周贩售255万,8,《 口袋妖怪   黑白 》 日本 首周 贩售 255 万,6
15,图文：借贷成本上涨致俄罗斯铝业净利下滑21%,2,图文 ： 借贷 成本 上涨 致 俄罗斯 铝业 净利 下滑 2,7
16,组图：新《三国》再曝海量剧照 火战场面极震撼,9,组图 ： 新 《 三国 》 再 曝 海量 剧照   火 战场,9
17,麻辣点评：如何走出“被留学”的尴尬,3,麻辣 点评 ： 如何 走出 “ 被 留学 ” 的 尴尬,3
18,美股评论：SUN的苦涩曙光,2,美股 评论 ： SUN 的 苦涩 曙光,2
19,拾荒男子捡到任命书假冒老总 连骗二十多位女子,5,拾荒 男子 捡 到 任命书 假冒 老总   连骗 二十多位 ,5
20,英国夫妇再育“黑白”双胞胎,4,英国 夫妇 再育 “ 黑白 ” 双胞胎,6
21,从跟班到战友 灵兽伴你畅游传奇世界,8,从 跟班 到 战友   灵兽 伴 你 畅游 传奇世界,8
22,你有随身听 我有随身看：掌上故事会,8,你 有 随身听   我 有 随身 看 ： 掌上 故事会,9
23,一封1968年的平信45.92万元成交,0,一封 1968 年 的 平信 45.92 万元 成交,5
24,女主人成功说服杀人躲避者自首,5,女主人 成功 说服 杀人 躲避 者 自首,5
25,NBA球员孙悦女友生活照 黑丝袜显美腿妖娆(图),9,NBA 球员 孙悦 女友 生活照   黑丝袜 显 美腿 妖娆,7
26,卧龙电气：电机牵引变压器大增 蓄电池陷入低迷,2,卧龙 电气 ： 电机 牵引 变压器 大增   蓄电池 陷入 ,9
27,基金高管离职带来业绩地震,0,基金 高管 离职 带来 业绩 地震,0
28,首只沪市中小盘ETF来了,0,首 只 沪市 中 小盘 ETF 来 了,0
29,第14名陈志民：5年超越大盘270%,0,第 14 名 陈 志民 ： 5 年 超越 大盘 270%,2
30,农产品价格上涨支撑依旧强劲,0,农产品 价格上涨 支撑 依旧 强劲,0
31,工行个人网银客户过亿,4,工行 个人 网银 客户 过 亿,4
32,股基首尾相差66% 华夏等旗下分化明显,0,股基 首尾 相差 66%   华夏 等 旗下 分化 明显,0
33,前活塞传奇球星重返NBA “坏小子”加入狼队教练组,7,前 活塞 传奇 球星 重返 NBA   “ 坏小子 ” 加入,7
34,圣殿序章13日开新区角色预注册开放,8,圣殿 序章 13 日开 新区 角色 预 注册 开放,8
35,保利地产两股东大举套现,2,保利 地产 两 股东 大举 套现,1
36,阿森纳不被看好之人惊喜一战 枪手一直缺的就是这类人,7,阿森纳 不 被 看好 之 人 惊喜 一战   枪手 一直 缺,7
37,华商基金举办北京客户交流会,0,华商 基金 举办 北京 客户 交流会,0
38,传奇3经典续作重现深挖品牌文化底蕴,8,传奇 3 经典 续作 重现 深挖 品牌 文化底蕴,8
39,台湾斥资3千亿新台币建造反导弹系统,6,台湾 斥资 3 千亿 新台币 建造 反导弹 系统,8
40,辽宁2009年运动员考生统一测试开始,3,辽宁 2009 年 运动员 考生 统一 测试 开始,3
41,绝杀之夜男篮并非一无是处 魔兽制造神奇半场一投,7,绝杀 之夜 男篮 并非 一无是处   魔兽 制造 神奇 半场,7
42,星河湾杯商界高尔夫巡回赛9月29日广州开赛(图),1,星河湾 杯 商界 高尔夫 巡回赛 9 月 29 日 广州 开,1
43,带GPS定位的广角旗舰 尼康P6000售2700,4,带 GPS 定位 的 广角 旗舰   尼康 P6000 售 ,4
44,2011香港电子展 AEE再度发力新品曝光,4,2011 香港 电子展   AEE 再度 发力 新品 曝光,9
45,斐济洪灾持续数日至少6人死亡,6,斐济 洪灾 持续 数日 至少 6 人 死亡,6
46,跑赢A股基金9% QDII基金经理露制胜法则,0,跑 赢 A股 基金 9%   QDII 基金 经理 露 制胜,0
47,回龙观泰华龙旗广场商住公寓预计9月开盘(图),1,回龙观 泰华 龙旗 广场 商住 公寓 预计 9 月 开盘 (,1
48,河南硕士生奖学金提高到每月600元,3,河南 硕士生 奖学金 提高 到 每月 600 元,3
49,Rain入伍前最后开唱 本周六“雨”润京城(图),9,Rain 入伍 前 最后 开唱   本 周六 “ 雨 ” 润,9
50,北京明星豪宅地图之那英(图),1,北京 明星 豪宅 地图 之 那英 ( 图 ),1
51,锋线进补皇马锁定未来新星 两大强人恐无缘伯纳乌,7,锋线 进补 皇马 锁定 未来 新星   两大 强人 恐 无缘,7
52,佳能新旗舰降价 一周数码相机降价排行,4,佳能 新旗舰 降价   一周 数码相机 降价 排行,4
53,《赤壁OL》最新美图赏析,8,《 赤壁 OL 》 最新 美 图 赏析,8
54,杀害医生嫌犯被批捕 13年前医患纠纷引发仇恨,5,杀害 医生 嫌犯 被 批捕   13 年前 医患 纠纷 引发,5
55,他山之石或为国足支良招 欧足联报告：时尚打单前锋,7,他山之石 或 为 国足 支良招   欧足联 报告 ： 时尚 ,4
56,快讯：沪指震荡回升重返2500上方 新疆股走强,2,快讯 ： 沪 指 震荡 回升 重返 2500 上方   新疆,2
57,初中生遭同学围殴后开始报复他人(图),5,初中生 遭 同学 围殴 后 开始 报复 他人 ( 图 ),5
58,电脑卖场样机流向大调查：以旧充新缺乏监管,4,电脑 卖场 样机 流向 大 调查 ： 以旧 充新 缺乏 监管,4
59,北美票房综述：《厄夜三十》吸血鬼镇压北美,9,北美票房 综述 ： 《 厄夜 三十 》 吸血鬼 镇压 北美,9
60,德云社停演非上级命令  属自发行为,9,德云社 停演 非 上级 命令     属 自发 行为,9
61,文凭情结助推考研热 应届生报考人数过半,3,文凭 情结 助推 考研热   应届生 报考 人数 过半,3
62,中国IC市场首次出现个位数增长,4,中国 IC 市场 首次 出现 个位数 增长,2
63,跌停板上明目张胆的利益输送何时休,2,跌停板 上 明目张胆 的 利益输送 何时休,9
64,铜价上涨趋势不变 短期震荡后进一步上扬,0,铜价 上涨 趋势 不变   短期 震荡 后 进一步 上扬,0
65,高考作文写作必备的八种结构模式,3,高考作文 写作 必备 的 八种 结构 模式,3
66,节前加仓节后迎反弹 2月股基均获得正收益,0,节前 加仓 节后 迎 反弹   2 月 股基均 获得 正 收,2
67,一季度赴美中概股“几家欢喜几家愁”,4,一季度 赴美 中概 股 “ 几家 欢喜 几家愁 ”,9
68,携带方便 佳能 A495最新报价仅为760元,4,携带方便   佳能   A495 最新 报价 仅为 760 ,4
69,涿州翔天万和城70-119平米2-3居均价7000元,1,涿州 翔天 万和城 70 - 119 平米 2 - 3 居 ,1
70,《赛猪》激情只等你的加入！,8,《 赛猪 》 激情 只 等 你 的 加入 ！,8
71,安徽10年后高考本科和专科可能分开考试,3,安徽 10 年 后 高考 本科 和 专科 可能 分开 考试,3
72,北京院子第一轮年终业主答谢活动启动,1,北京 院子 第一轮 年终 业主 答谢 活动 启动,1
73,欧洲理事会主席范龙佩抵达北京开始访华,6,欧洲理事会 主席 范龙佩 抵达 北京 开始 访华,1
74,怀恩豪斯生前挥霍 遗产缩水严重仅有200万英镑,9,怀恩 豪斯 生前 挥霍   遗产 缩水 严重 仅 有 200,9
75,阿雅新春献爱心 主动掏钱资助贫困流浪人(图),9,阿雅 新春 献爱心   主动 掏钱 资助 贫困 流浪人 ( ,9
76,精神病患者住院期间溺水死亡 医院被判担责40%,5,精神病 患者 住院 期间 溺水 死亡   医院 被判 担责 ,5
77,刘涛产后复出有缘由？ 传其老公破产离婚在即,9,刘涛 产后 复出 有 缘由 ？   传其 老公 破产 离婚 ,9
78,台当局称两岸即将合拍电视剧,6,台当局 称 两岸 即将 合拍 电视剧,6
79,索尼PS3网络遭攻击 黑客无意伤害玩家,8,索尼 PS3 网络 遭 攻击   黑客 无意 伤害 玩家,8
80,2011年高考英语试题(江西卷),3,2011 年 高考 英语试题 ( 江西 卷 ),3
81,收评：国内商品全线上扬 沪锌沪胶郑棉领涨,0,收评 ： 国内 商品 全线 上扬   沪 锌 沪 胶 郑棉 ,0
82,熊乃瑾成新一代“嘟嘴女王” 清纯中不失性感,9,熊乃瑾 成 新一代 “ 嘟嘴 女王 ”   清纯 中 不失 ,9
83,顺义中景江山赋4-5月待售97-169平米一至四居,1,顺义 中景 江山 赋 4 - 5 月 待售 97 - 169,1
84,曼联王牌破进球荒变身关键先生 无惧失败证明自己价值,7,曼联 王牌 破 进球 荒变身 关键 先生   无惧 失败 证,7
85,HIT-5录制阿雅节目 现场换装演绎不同舞种(图),9,HIT - 5 录制 阿雅 节目   现场 换装 演绎 不同,9
86,央视过火楼10月实拆 离主楼近成为施工难点(图),9,央视 过火 楼 10 月实 拆   离 主楼 近 成为 施工,9
87,高考生收到34封入学通知书 疑报名信息被泄密,5,高 考生 收到 34 封 入学 通知书   疑 报名 信息 ,3
88,省级机关公开遴选公务员 最热岗位251人竞争,3,省级机关 公开 遴选 公务员   最 热 岗位 251 人 ,3
89,戒毒人员在戒毒所猝死 排除机械性暴力致死因素,5,戒毒 人员 在 戒毒所 猝死   排除 机械性 暴力 致死 ,5
90,模特刘羽琦机车写真新鲜出炉 朋克味道十足(图),9,模特 刘羽琦 机车 写真 新鲜出炉   朋克 味道 十足 (,9
91,超Q超可爱 《艾尔之光》的小怪物！,8,超 Q 超 可爱   《 艾尔之光 》 的 小 怪物 ！,8
92,公司开出15万年薪只招自考生,5,公司 开出 15 万 年薪 只 招自 考生,3
93,女大学生网上应聘连续被骗,5,女 大学生 网上 应聘 连续 被 骗,5
94,文化部官员透露将遏制网游虚拟财产交易,4,文化部 官员 透露 将 遏制 网游 虚拟 财产 交易,8
95,温格成为世界杯官方赞助商代言人 联手打造独特理念,7,温格 成为 世界杯 官方 赞助商 代言人   联手 打造 独,7
96,女生写给男生宿舍要求监督男友亲笔信7年后曝光,5,女生 写给 男生宿舍 要求 监督 男友 亲笔信 7 年 后 ,5
97,广西高考最低录取分数线划定 三本分数线上升,3,广西 高考 最低 录取 分数线 划定   三本 分数线 上升,3
98,高速大容量硬盘 东芝M600-02S报价7799,4,高速 大容量 硬盘   东芝 M600 - 02S 报价 7,4
99,少妇被男网友骗走8万元 曾租房与其幽会,5,少妇 被 男 网友 骗走 8 万元   曾 租房 与其 幽会,5
100,融通内需驱动基金拟首次分红,0,融通 内需 驱动 基金 拟 首次 分红,0
101,丰田雷克萨斯10月在美销量超越奔驰宝马,2,丰田 雷克萨斯 10 月 在 美 销量 超越 奔驰 宝马,2
102,媒体称CIA联合巴勒斯坦特工虐待哈马斯支持者,6,媒体 称 CIA 联合 巴勒斯坦 特工 虐待 哈马斯 支持者,6
103,2008年台湾1000大企业最爱的大学排名,3,2008 年 台湾 1000 大 企业 最爱 的 大学排名,6
104,缅甸首都发生严重火灾致数百商铺烧毁,6,缅甸 首都 发生 严重 火灾 致 数百 商铺 烧毁,6
105,十天竟降300 夏普46寸液晶电视11299元,4,十天 竟降 300   夏普 46 寸 液晶电视 11299,4
106,赵薇为毕业将暂别娱乐圈 称爱情要顺其自然,9,赵薇 为 毕业 将 暂别 娱乐圈   称 爱情 要 顺其自然,9
107,外交部就阿富汗总统访华及中印关系等答问,6,外交部 就 阿富汗 总统 访华 及 中印关系 等 答问,6
108,麦考林盘中最大跌幅47%,4,麦考林 盘中 最大 跌幅 47%,2
109,国际大宗商品牛市终结的利与弊,0,国际 大宗 商品 牛市 终结 的 利与弊,0
110,邪风曲新版表情 秀出风格萌翻全场,8,邪风 曲 新版 表情   秀出 风格 萌翻 全场,9
111,北京15所高校本周末举办校园开放日,3,北京 15 所 高校 本 周末 举办 校园 开放日,3
112,切尔西欧冠英雄一战失去主力位 安帅首发恐划去此人,7,切尔西 欧冠 英雄 一战 失去 主力 位   安帅 首发 恐,7
113,不错过旅途中美丽风景 奥林巴斯SP600,4,不错 过 旅途 中 美丽 风景   奥林巴斯 SP600,4
114,《梦幻天劫》2月24日更新公告,8,《 梦幻 天劫 》 2 月 24 日 更新 公告,8
115,丹麦小镇打造别墅区舒适精装洋房,1,丹麦 小镇 打造 别墅区 舒适 精装 洋房,1
116,凯德置地逆势发力北京 嘉德置地看好中国楼市,1,凯德 置 地 逆势 发力 北京   嘉德置 地 看好 中国 ,1
117,中国石化和中国石油分别上涨1.20%和1.24%,2,中国 石化 和 中国 石油 分别 上涨 1.20% 和 1.,2
118,美国青年网上直播自杀 千余人观看无人阻止,5,美国 青年 网上 直播 自杀   千余 人 观看 无人 阻止,6
119,卡扎菲称如果北约停止空袭将辞职,6,卡扎菲 称 如果 北约 停止 空袭 将 辞职,6
120,ROM中的秘密 EVO 4G刷机后开启WiMAX网络,4,ROM 中 的 秘密   EVO   4G 刷 机后 开启 ,8
121,快讯：道指攀升超过200点,2,快讯 ： 道 指 攀升 超过 200 点,2
122,涉股理财品PK基金正规军,0,涉股 理财 品 PK 基金 正规军,0
123,日政府高规格接待曾炸毁韩国客机朝鲜女特工,6,日 政府 高 规格 接待 曾 炸毁 韩国 客机 朝鲜 女特工,6
124,亦庄IN北京仅余11套尾房在售起价220万享94折,1,亦庄 IN 北京 仅余 11 套尾房 在 售 起价 220 ,1
125,哈尔滨工程大学2010年高考录取结果查询开通,3,哈尔滨工程大学 2010 年 高考 录取 结果 查询 开通,3
126,奥巴马任命经济复苏顾问委员会主席,6,奥巴马 任命 经济 复苏 顾问 委员会 主席,6
127,刘炜首开口：可能过几天就归队 与俱乐部谈判愉快,7,刘炜首 开口 ： 可能 过 几天 就 归队   与 俱乐部 ,6
128,日锌冶炼厂减产能 供应减少全球锌价或趋高,0,日 锌 冶炼厂 减产 能   供应 减少 全球 锌 价 或 ,0
129,金融地产强势不减 3000点攻关在即,1,金融 地产 强势 不减   3000 点 攻关 在 即,1
130,国内商品期货盘初多数下跌 沪铜跌0.71%,0,国内 商品 期货 盘初 多数 下跌   沪 铜 跌 0.71,0
131,4月增资7月进场金鹰自购基金3000万,0,4 月 增资 7 月 进场 金鹰 自购 基金 3000 万,0
132,鹰王25+5+5联盟能有几人 另一20分先生却动念离开,7,鹰王 25 + 5 + 5 联盟 能 有 几人   另 一 ,7
133,北京别墅金九银十成交有望再创新高,1,北京 别墅 金九银 十 成交 有望 再创新高,1
134,房山鸿顺园东区45-121平米1-3居在售全款98折,1,房山 鸿 顺园 东区 45 - 121 平米 1 - 3 居,1
135,六月触发考研“多米诺”--统考专业课指导,3,六月 触发 考研 “ 多米诺 ” -- 统考 专业课 指导,3
136,斯杯-中国男篮22分胜伊朗 复仇夜阿联轰下16+10,7,斯杯 - 中国男篮 22 分胜 伊朗   复仇 夜 阿联 轰,7
137,鲁比尼：金融危机可能引发长时间全球衰退,2,鲁比 尼 ： 金融危机 可能 引发 长时间 全球 衰退,6
138,传蔡卓妍与英皇约满后跳槽金牌大风,9,传 蔡卓妍 与 英皇 约 满后 跳槽 金牌 大风,9
139,畅游申请1.38亿美元IPO计划,4,畅游 申请 1.38 亿美元 IPO 计划,4
140,千万豪宅时代保利垄上厚积薄发 三期热销京城,1,千万 豪宅 时代 保利 垄上 厚积薄发   三期 热销 京城,1
141,建邦礼仕阁首批业主顺利入住,1,建邦 礼仕阁 首批 业主 顺利 入住,1
142,留英新政来不及消化 学生中介齐忐忑(组图),3,留英 新政 来不及 消化   学生 中介 齐 忐忑 ( 组图,3
143,孕妇待产列车紧急停靠8分钟(图),5,孕妇 待产 列车 紧急 停靠 8 分钟 ( 图 ),5
144,传《半条命2：第三章》今年发售无望,8,传 《 半条命 2 ： 第三章 》 今年 发售 无望,8
145,德国国防部长博士论文涉嫌抄袭 学位恐被取消,6,德国 国防部长 博士论文 涉嫌 抄袭   学位 恐 被 取消,6
146,万通天竺新新家园 市场缘何青睐绿色宜居型别墅,1,万通 天竺 新 新家园   市场 缘何 青睐 绿色 宜居 型,2
147,动视暴雪反诉讼两名被解雇高管,8,动视 暴雪 反 诉讼 两名 被 解雇 高管,8
148,WCG2011欧洲杯比赛项目投票结束,8,WCG2011 欧洲杯 比赛项目 投票 结束,9
149,马拉加即将迎来强劲斗富对手 印度大亨入主西甲保级队,7,马拉加 即将 迎来 强劲 斗富 对手   印度 大亨 入主 ,6
150,武汉大学生消费调查报告：人均月支出980元(图),3,武汉 大学生 消费 调查报告 ： 人均 月 支出 980 元,5
151,消息称Facebook接近收购Foursquare,4,消息 称 Facebook 接近 收购 Foursquare,4
152,外交部中美存在一些敏感问题需妥善处理(实录),6,外交部 中 美 存在 一些 敏感 问题 需 妥善处理 ( 实,6
153,标准银行：基金属盘整看下周经济数据,0,标准 银行 ： 基金 属 盘整 看 下周 经济 数据,0
154,热点观察：中国高中生也有这样的暑假作业,3,热点 观察 ： 中国 高中生 也 有 这样 的 暑假作业,2
155,专家核聚变开发可能致美韩对朝态度更强硬,6,专家 核聚变 开发 可能 致 美韩 对朝 态度 更 强硬,6
156,网游《核金风暴》亮相常州动漫节,8,网游 《 核金 风暴 》 亮相 常州 动漫 节,8
157,61家基金二季报全线报亏 整体亏损金额超890亿,2,61 家 基金 二 季报 全线 报亏   整体 亏损 金额 ,0
158,全球化运营是游戏企业做强唯一出路,8,全球化 运营 是 游戏 企业 做强 唯一 出路,8
159,国土部筹谋地王风险防控,1,国土 部 筹谋 地 王 风险 防控,0
160,平凡女孩用画笔叩开清华大门,3,平凡 女孩 用 画笔 叩开 清华 大门,5
161,2011年研招三大变化 品德不合格学生不予录取,3,2011 年 研招 三大 变化   品德 不 合格 学生 不,3
162,北京广渠路15号地临阵变卦,1,北京 广渠路 15 号 地 临阵 变卦,1
163,澳大利亚总理称英女王去世后澳将建共和国,6,澳大利亚 总理 称 英女王 去世 后澳 将 建 共和国,6
164,首节砍17分！杜兰特大爆发 克雷扎被小AI彻底冻结,7,首节 砍 17 分 ！ 杜兰特 大 爆发   克雷扎 被 小,7
165,胡瓜“诈赌案”官司仍在进行 全面封口拒受访,9,胡瓜 “ 诈 赌案 ” 官司 仍 在 进行   全面 封口 ,9
166,大兴线金色漫香郡15日推新起价10800全款96折,1,大兴 线 金色 漫香 郡 15 日 推新 起价 10800 ,1
167,西城西单上国阙165平2居和280平3居精装在售,1,西城 西单 上国 阙 165 平 2 居 和 280 平 3,1
168,国家互联网信息办公室负责人就职能等答问,4,国家 互联网 信息 办公室 负责人 就 职能 等 答问,4
169,英国女子遭劫时胸罩挡住利刃保住性命(图),5,英国 女子 遭劫 时 胸罩 挡住 利刃 保住 性命 ( 图 ,5
170,韩雪剧版《十三钗》变身神枪手准备冲击艾美奖,9,韩雪剧 版 《 十三 钗 》 变 身 神枪手 准备 冲击 艾,2
171,国际白银经历黑色一周 金银饰品价格变化不大,0,国际 白银 经历 黑色 一周   金银 饰品 价格 变化 不,0
172,不到中国不知易建联价值 雄鹿总经理：我恨换走他,7,不到 中国 不知 易建联 价值   雄鹿 总经理 ： 我 恨,7
173,AC米兰最接近之人成最好补充 德甲王牌早已心向圣西罗,7,AC 米兰 最 接近 之人成 最好 补充   德甲 王牌 早,7
174,中国太保：稳定增长持续改善 买入,2,中国 太保 ： 稳定增长 持续 改善   买入,2
175,A股市场倒头肩形态突破形成,2,A股 市场 倒头 肩 形态 突破 形成,2
176,巴萨挑战皇马寻求两大突破：在伯纳乌主客场四杀皇马,7,巴萨 挑战 皇马 寻求 两大 突破 ： 在 伯纳乌 主客场 ,7
177,欧洲债务危机危中有机,2,欧洲 债务 危机 危中 有机,2
178,美专家盛赞阿联有两双潜力 场均17分12板并不遥远,7,美 专家 盛赞 阿联 有 两双 潜力   场均 17 分 1,7
179,房管所干部侵吞公款213万拒不交代去向,5,房管所 干部 侵吞公款 213 万拒 不 交代 去向,5
180,昆明中考加分政策出台 省级三好生加10分,3,昆明 中考 加 分 政策 出台   省级 三好生 加 10 ,3
181,博时价值一往情深 烟台万华渐露春色,0,博时 价值 一往情深   烟台万华 渐露 春色,0
182,[短讯]截至4月2日当周欧央行黄金储备为3506.670亿欧元,0,[ 短讯 ] 截至 4 月 2 日当 周欧 央行 黄金 储备,0
183,检方证据显示陈水扁家族至少还有十亿不法所得,6,检方 证据 显示 陈水扁 家族 至少 还有 十亿 不法 所得,6
184,IEF2009联盟高校DOTA联赛即将开赛,8,IEF2009 联盟 高校 DOTA 联赛 即将 开赛,3
185,教师应付学生失望 大学公选课呼唤优胜劣汰,3,教师 应付 学生 失望   大学 公 选课 呼唤 优胜劣汰,5
186,刚性需求宽松信贷投资客卷土重来,1,刚性 需求 宽松 信贷 投资 客 卷土重来,0
187,上海复地：德银维持评级 目标价1.2港元,2,上海 复地 ： 德银 维持 评级   目标价 1.2 港元,2
188,合景香悦四季悦享春天时尚party璀璨闭幕(组图),1,合景 香悦 四季 悦享 春天 时尚 party 璀璨 闭幕 ,4
