text	label	words
中华女子学院：本科层次仅1专业招男生	3	中华 女子 学院 ： 本科 层次 仅 1 专业 招 男生
两天价网站背后重重迷雾：做个网站究竟要多少钱	4	两天 价 网站 背后 重重 迷雾 ： 做个 网站 究竟 要 
东5环海棠公社230-290平2居准现房98折优惠	1	东 5 环 海棠 公社 230 - 290 平 2 居 准现
卡佩罗：告诉你德国脚生猛的原因 不希望英德战踢点球	7	卡佩罗 ： 告诉 你 德国 脚 生猛 的 原因   不 希望
82岁老太为学生做饭扫地44年获授港大荣誉院士	5	82 岁 老太 为 学生 做饭 扫地 44 年 获授 港大 
记者回访地震中可乐男孩：将受邀赴美国参观	5	记者 回访 地震 中 可乐 男孩 ： 将 受邀 赴美国 参观
冯德伦徐若�隔空传情 默认其是女友	9	冯德伦 徐若 � 隔空 传情   默认 其是 女友
传郭晶晶欲落户香港战伦敦奥运 装修别墅当婚房	1	传 郭晶晶 欲 落户 香港 战 伦敦 奥运   装修 别墅 
《赤壁OL》攻城战诸侯战硝烟又起	8	《 赤壁 OL 》 攻城战 诸侯 战 硝烟 又 起
“手机钱包”亮相科博会	4	“ 手机 钱包 ” 亮相 科博会
上海2010上半年四六级考试报名4月8日前完成1	3	上海 2010 上半年 四六级 考试 报名 4 月 8 日前
李永波称李宗伟难阻林丹取胜 透露谢杏芳有望出战	7	李永波 称 李宗伟 难 阻林丹 取胜   透露 谢杏芳 有望
3岁女童下体红肿 自称被幼儿园老师用尺子捅伤	5	3 岁 女童 下体 红肿   自称 被 幼儿园 老师 用 尺
金证顾问：过山车行情意味着什么	2	金证 顾问 ： 过山车 行情 意味着 什么
谁料地王如此虚	1	谁料 地 王 如此 虚
《光环5》Logo泄露 Kinect版几无悬念	8	《 光环 5 》 Logo 泄露   Kinect 版几无 
海淀区领秀新硅谷宽景大宅预计10月底开盘	1	海淀区 领秀新 硅谷 宽景 大宅 预计 10 月底 开盘
柴志坤：土地供应量不断从紧 地价难现07水平(图)	1	柴志坤 ： 土地 供应量 不断 从 紧   地价 难现 07
伊达传说EDDA Online	8	伊达 传说 EDDA   Online
三联书店建起书香巷	4	三联书店 建起 书香 巷
宇航员尿液堵塞国际空间站水循环系统	4	宇航员 尿液 堵塞 国际 空间站 水 循环系统
研究发现开车技术差或与基因相关	6	研究 发现 开车 技术 差 或 与 基因 相关
皇马输球替补席闹丑闻 队副女球迷公然调情(视频)	7	皇马 输球 替补席 闹 丑闻   队 副 女球迷 公然 调情
北京建工与市政府再度合作推出郭庄子限价房	1	北京 建工 与 市政府 再度 合作 推出 郭 庄子 限价 房
组图：李欣汝素颜出镜拍低碳环保大片	9	组图 ： 李欣汝素 颜 出镜 拍低 碳 环保 大片
2008中文网志年会演讲人：庄秀丽	4	2008 中文网 志年 会 演讲人 ： 庄 秀丽
3000点之下是买入好时机	2	3000 点 之下 是 买入 好时机
赵本山要追究法律责任：居然诽谤我打小沈阳	9	赵本山 要 追究 法律责任 ： 居然 诽谤 我 打 小 沈阳
总有一款适合你 潮人必备多用途电视导购	4	总有 一款 适合 你   潮人 必备 多用途 电视 导购
万科退赛 恒大16.6亿抢下深圳建设集团	2	万科 退赛   恒大 16.6 亿 抢下 深圳 建设 集团
俄企业赴港上市热情不减 资源类企业积极性最高	2	俄 企业 赴 港 上市 热情 不减   资源 类 企业 积极
《非诚勿扰》单亲妈妈邂逅沧桑型男 推出微直播	9	《 非诚 勿扰 》 单亲 妈妈 邂逅 沧桑 型 男   推出
朱之文亮的都是绝活《GIGA SLAVE》	8	朱之文亮 的 都 是 绝活 《 GIGA   SLAVE 》
《非诚勿扰》“冯女郎”车晓带妈妈闯世界(图)	9	《 非诚 勿扰 》 “ 冯 女郎 ” 车晓带 妈妈 闯世界 
美弗吉尼亚大学访华太设计签实习基地协议（组图）	1	美 弗吉尼亚 大学 访华 太 设计 签 实习 基地 协议 （
华中科技大学2010年考研成绩查询开通	3	华中科技大学 2010 年 考研 成绩 查询 开通
陈小艺“激吻照”疑似炒作	9	陈小艺 “ 激吻 照 ” 疑似 炒作
90岁老太半世纪撮合200多对新人(图)	5	90 岁 老太 半世纪 撮合 200 多 对 新人 ( 图 
袁立挑选钻戒被疑婚期将近 男伴酷似梁朝伟(图)	9	袁立 挑选 钻戒 被疑 婚期 将近   男伴 酷似 梁朝伟 
国务院：严打拐卖操控未成年人违法犯罪	6	国务院 ： 严打 拐卖 操控 未成年人 违法犯罪
