id,label,sentence,label_des,true_label,pred_label,true_label_des,pred_label_des,true_prob,pred_prob,prob_gap,is_correct,fold,review_status,review_label,review_note
9117,78,有什么区区别,买家咨询商品的色差问题,78,82,买家咨询商品的色差问题,买家咨询商品区别,0.0018035886,0.9707747,0.96897113,False,2,,,
5456,66,这个可以定制吗,买家咨询能否分开/一起发货,66,65,买家咨询能否分开/一起发货,买家咨询能否定制,0.0010725771,0.92808664,0.92701405,False,3,,,
6951,79,买一送一是半价还是买一送一,买家咨询商品规格数量,79,60,买家咨询商品规格数量,买家咨询活动规则,0.003145894,0.92817026,0.9250244,False,3,,,
9245,59,开发票！,买家咨询换货发货时间,59,67,买家咨询换货发货时间,买家咨询能否开发票及发票类型和寄送时间,0.0049990593,0.9252428,0.92024374,False,5,,,
590,94,可定制字体？,买家咨询是否可以改价,94,65,买家咨询是否可以改价,买家咨询能否定制,0.0008787952,0.9137761,0.9128973,False,5,,,
4257,1,不要发圆通快递和邮政快递,买家表达不满/生气,1,97,买家表达不满/生气,买家咨询是否可以指定快递,0.0015364712,0.91062826,0.9090918,False,4,,,
8073,26,有啥区别吗,买家表示优惠券无法使用,26,82,买家表示优惠券无法使用,买家咨询商品区别,0.0005718795,0.90731347,0.90674156,False,1,,,
5090,71,发票帮我开,买家咨询如何领取优惠券,71,67,买家咨询如何领取优惠券,买家咨询能否开发票及发票类型和寄送时间,0.0032352218,0.908852,0.90561676,False,2,,,
4787,81,亲，可以指定发邮政快递吗？,买家咨询商品具体尺码尺寸,81,97,买家咨询商品具体尺码尺寸,买家咨询是否可以指定快递,0.00041800438,0.8990089,0.8985909,False,3,,,
2365,63,送杯子不送勺子吗？,买家咨询哪款更好,63,86,买家咨询哪款更好,买家咨询商品是否有赠品,0.00029990758,0.8939861,0.8936862,False,5,,,
4638,67,大小可以定制吗？,买家咨询能否开发票及发票类型和寄送时间,67,65,买家咨询能否开发票及发票类型和寄送时间,买家咨询能否定制,0.0023438889,0.88596493,0.88362104,False,3,,,
6742,103,改下地址,买家咨询退换货地址,103,49,买家咨询退换货地址,买家要求修改收件信息,0.004847605,0.88466036,0.8798128,False,2,,,
9640,54,9天了，快点发货,买家咨询发货时间,54,29,买家咨询发货时间,买家催促发货,0.0121739535,0.8918659,0.87969196,False,5,,,
5494,77,这个可以定制戳戳绣吗,买家咨询商品的材质/面料,77,65,买家咨询商品的材质/面料,买家咨询能否定制,0.0033801638,0.8759938,0.8726136,False,3,,,
9852,110,我们申请退款,买家咨询退款时间,110,22,买家咨询退款时间,买家表示需要退货退款,0.011018456,0.8824845,0.87146604,False,5,,,
3280,46,谢谢谢谢呜呜呜,买家要求取消退换货退款,46,7,买家要求取消退换货退款,买家表示麻烦卖家，表达感谢,0.0018114191,0.86896753,0.8671561,False,4,,,
3020,90,别都是一样的,买家咨询商品重量,90,82,买家咨询商品重量,买家咨询商品区别,0.0026160066,0.8686698,0.8660538,False,1,,,
624,78,两种款式有什么区别,买家咨询商品的色差问题,78,82,买家咨询商品的色差问题,买家咨询商品区别,0.004787269,0.8583697,0.85358244,False,3,,,
2700,58,价格不一样的都有些什么区别,买家咨询返现时间,58,82,买家咨询返现时间,买家咨询商品区别,0.0013522869,0.85320693,0.8518546,False,5,,,
3084,58,电压有什么区别,买家咨询返现时间,58,82,买家咨询返现时间,买家咨询商品区别,0.002571182,0.8484023,0.84583116,False,2,,,
9009,81,请问尺寸可以定制不,买家咨询商品具体尺码尺寸,81,65,买家咨询商品具体尺码尺寸,买家咨询能否定制,0.0025829647,0.84661853,0.84403557,False,1,,,
7827,49,袋子可以定制吗？,买家要求修改收件信息,49,65,买家要求修改收件信息,买家咨询能否定制,0.002700179,0.837262,0.8345618,False,1,,,
3535,87,你们可以定制吗,买家咨询商品是否有质保，质保多久,87,65,买家咨询商品是否有质保，质保多久,买家咨询能否定制,0.00074434606,0.83418,0.83343565,False,4,,,
4357,106,亲这款是买一送一吗,买家咨询退换货支持快递,106,60,买家咨询退换货支持快递,买家咨询活动规则,0.00081437145,0.8341041,0.83328974,False,3,,,
168,41,请问每袋虾净重是多少克,买家要求补偿,41,90,买家要求补偿,买家咨询商品重量,0.0016856393,0.82762784,0.8259422,False,5,,,
8209,0,这款是买一送一的吗,买家抱怨商品涨价了,0,60,买家抱怨商品涨价了,买家咨询活动规则,0.0033805722,0.82679296,0.82341236,False,5,,,
2391,31,双十一有活动活动,买家打招呼,31,99,买家打招呼,买家咨询是否有活动,0.00062651216,0.82020813,0.8195816,False,4,,,
5598,94,宽高可以定制吗,买家咨询是否可以改价,94,65,买家咨询是否可以改价,买家咨询能否定制,0.002278397,0.82055664,0.81827825,False,5,,,
4595,71,能开发票哑巴,买家咨询如何领取优惠券,71,67,买家咨询如何领取优惠券,买家咨询能否开发票及发票类型和寄送时间,0.006197776,0.8241022,0.8179045,False,4,,,
5419,30,就是买一送一,买家催促回复,30,60,买家催促回复,买家咨询活动规则,0.0006926283,0.8153791,0.8146865,False,1,,,
3103,1,快递可以指定邮政嘛,买家表达不满/生气,1,97,买家表达不满/生气,买家咨询是否可以指定快递,0.002463488,0.8131162,0.81065273,False,4,,,
2668,50,我申请退款了，你们同意一下。,买家要求延迟发货,50,22,买家要求延迟发货,买家表示需要退货退款,0.0012852222,0.80777967,0.8064945,False,5,,,
8658,92,保证质量么？,买家咨询是否可以打折,92,89,买家咨询是否可以打折,买家咨询商品质量是否有保障,0.0018969993,0.80442387,0.8025269,False,1,,,
5929,55,邮政吧,买家咨询发什么快递,55,97,买家咨询发什么快递,买家咨询是否可以指定快递,0.0057733627,0.8074766,0.8017032,False,5,,,
6825,104,退运费险到了吗,买家咨询退换货规则,104,114,买家咨询退换货规则,买家咨询运费险赔付规则,0.004014332,0.8016156,0.7976013,False,5,,,
231,90,有区别吗,买家咨询商品重量,90,82,买家咨询商品重量,买家咨询商品区别,0.0029453917,0.7989397,0.79599434,False,1,,,
5453,47,一样的吗,买家要求添加商家微信,47,82,买家要求添加商家微信,买家咨询商品区别,0.0022582745,0.7965253,0.794267,False,5,,,
3938,83,不要发邮政跟百世,买家咨询商品上新时间,83,97,买家咨询商品上新时间,买家咨询是否可以指定快递,0.0009767953,0.7939457,0.7929689,False,2,,,
3741,67,不是可以定做吗,买家咨询能否开发票及发票类型和寄送时间,67,65,买家咨询能否开发票及发票类型和寄送时间,买家咨询能否定制,0.003059783,0.7953362,0.7922764,False,4,,,
5736,108,有色差吗？颜色正吗,买家咨询退款金额,108,78,买家咨询退款金额,买家咨询商品的色差问题,0.001586769,0.793604,0.7920172,False,4,,,
8324,101,这个跟49.9的有什么区别,买家咨询是否有实体店,101,82,买家咨询是否有实体店,买家咨询商品区别,0.0005396972,0.79241157,0.79187185,False,3,,,
