label_a,label_b,a_to_b,b_to_a,total_confusion,label_a_des,label_b_des
60,86,14,1,15,买家咨询活动规则,买家咨询商品是否有赠品
60,99,7,3,10,买家咨询活动规则,买家咨询是否有活动
38,60,0,9,9,买家讨价还价,买家咨询活动规则
82,112,9,0,9,买家咨询商品区别,买家咨询优惠券使用规则
20,111,1,6,7,买家表示物流太慢了,买家咨询物流信息
29,54,4,3,7,买家催促发货,买家咨询发货时间
62,99,0,7,7,买家咨询买多件能否优惠,买家咨询是否有活动
22,46,5,0,5,买家表示需要退货退款,买家要求取消退换货退款
47,82,0,5,5,买家要求添加商家微信,买家咨询商品区别
58,98,0,4,4,买家咨询返现时间,买家咨询是否有好评返现
43,49,0,4,4,买家要求改商品信息,买家要求修改收件信息
1,107,4,0,4,买家表达不满/生气,买家咨询退货退款原因选什么
37,49,3,1,4,买家确认地址是否修改成功,买家要求修改收件信息
57,108,3,1,4,买家咨询返现金额,买家咨询退款金额
48,105,3,1,4,买家要求退运费,买家咨询退换货运费由谁承担
105,113,3,1,4,买家咨询退换货运费由谁承担,买家咨询运费金额
21,89,2,1,3,买家表示先买来试试,买家咨询商品质量是否有保障
104,105,2,1,3,买家咨询退换货规则,买家咨询退换货运费由谁承担
79,90,2,1,3,买家咨询商品规格数量,买家咨询商品重量
31,47,3,0,3,买家打招呼,买家要求添加商家微信
97,106,3,0,3,买家咨询是否可以指定快递,买家咨询退换货支持快递
43,94,3,0,3,买家要求改商品信息,买家咨询是否可以改价
4,49,0,2,2,买家表示地址正确,买家要求修改收件信息
20,97,0,2,2,买家表示物流太慢了,买家咨询是否可以指定快递
43,104,1,1,2,买家要求改商品信息,买家咨询退换货规则
1,22,2,0,2,买家表达不满/生气,买家表示需要退货退款
78,82,0,2,2,买家咨询商品的色差问题,买家咨询商品区别
41,60,0,2,2,买家要求补偿,买家咨询活动规则
60,62,2,0,2,买家咨询活动规则,买家咨询买多件能否优惠
60,90,2,0,2,买家咨询活动规则,买家咨询商品重量
56,86,1,1,2,买家咨询返现方式,买家咨询商品是否有赠品
43,60,1,1,2,买家要求改商品信息,买家咨询活动规则
8,25,1,1,2,买家表示马上下单付款,买家表示已下单付款
29,86,1,1,2,买家催促发货,买家咨询商品是否有赠品
22,104,1,1,2,买家表示需要退货退款,买家咨询退换货规则
60,72,1,1,2,买家咨询活动规则,买家咨询如何下单
0,60,1,1,2,买家抱怨商品涨价了,买家咨询活动规则
7,67,1,1,2,买家表示麻烦卖家，表达感谢,买家咨询能否开发票及发票类型和寄送时间
60,71,1,1,2,买家咨询活动规则,买家咨询如何领取优惠券
3,92,1,1,2,买家表示不想要了,买家咨询是否可以打折
27,40,1,1,2,买家表示有疑问/不理解,买家需要商品推荐
29,46,2,0,2,买家催促发货,买家要求取消退换货退款
86,112,1,1,2,买家咨询商品是否有赠品,买家咨询优惠券使用规则
8,15,1,1,2,买家表示马上下单付款,买家表示是老顾客
8,14,1,1,2,买家表示马上下单付款,买家表示稍等
22,29,2,0,2,买家表示需要退货退款,买家催促发货
65,102,2,0,2,买家咨询能否定制,买家咨询是否有味道
40,90,2,0,2,买家需要商品推荐,买家咨询商品重量
22,88,0,2,2,买家表示需要退货退款,买家咨询商品是什么颜色
55,97,2,0,2,买家咨询发什么快递,买家咨询是否可以指定快递
80,113,2,0,2,买家咨询商品价格,买家咨询运费金额
13,59,2,0,2,买家表示商品已经寄回去了,买家咨询换货发货时间
8,40,0,2,2,买家表示马上下单付款,买家需要商品推荐
65,77,2,0,2,买家咨询能否定制,买家咨询商品的材质/面料
7,72,0,2,2,买家表示麻烦卖家，表达感谢,买家咨询如何下单
2,69,0,2,2,买家表达赞美/满意,买家咨询偏远地区是否发货
4,97,2,0,2,买家表示地址正确,买家咨询是否可以指定快递
64,79,2,0,2,买家咨询能否到付,买家咨询商品规格数量
38,62,0,2,2,买家讨价还价,买家咨询买多件能否优惠
57,65,2,0,2,买家咨询返现金额,买家咨询能否定制
38,80,0,2,2,买家讨价还价,买家咨询商品价格
69,73,0,2,2,买家咨询偏远地区是否发货,买家咨询商家发货地
26,71,0,2,2,买家表示优惠券无法使用,买家咨询如何领取优惠券
25,86,2,0,2,买家表示已下单付款,买家咨询商品是否有赠品
12,52,0,2,2,买家表示商家发错货了,买家咨询补货/上货时间
29,111,0,2,2,买家催促发货,买家咨询物流信息
38,77,0,2,2,买家讨价还价,买家咨询商品的材质/面料
15,31,0,2,2,买家表示是老顾客,买家打招呼
80,82,2,0,2,买家咨询商品价格,买家咨询商品区别
74,110,2,0,2,买家咨询商家是否收到寄回的商品,买家咨询退款时间
24,74,0,2,2,买家表示已经收到货了,买家咨询商家是否收到寄回的商品
5,31,2,0,2,买家表示好的,买家打招呼
60,88,0,2,2,买家咨询活动规则,买家咨询商品是什么颜色
14,106,1,0,1,买家表示稍等,买家咨询退换货支持快递
14,66,1,0,1,买家表示稍等,买家咨询能否分开/一起发货
14,108,1,0,1,买家表示稍等,买家咨询退款金额
14,65,1,0,1,买家表示稍等,买家咨询能否定制
14,60,1,0,1,买家表示稍等,买家咨询活动规则
14,80,1,0,1,买家表示稍等,买家咨询商品价格
49,74,0,1,1,买家要求修改收件信息,买家咨询商家是否收到寄回的商品
14,43,1,0,1,买家表示稍等,买家要求改商品信息
7,14,0,1,1,买家表示麻烦卖家，表达感谢,买家表示稍等
89,111,1,0,1,买家咨询商品质量是否有保障,买家咨询物流信息
89,107,1,0,1,买家咨询商品质量是否有保障,买家咨询退货退款原因选什么
20,89,0,1,1,买家表示物流太慢了,买家咨询商品质量是否有保障
48,102,1,0,1,买家要求退运费,买家咨询是否有味道
48,58,1,0,1,买家要求退运费,买家咨询返现时间
48,52,1,0,1,买家要求退运费,买家咨询补货/上货时间
43,88,1,0,1,买家要求改商品信息,买家咨询商品是什么颜色
43,79,1,0,1,买家要求改商品信息,买家咨询商品规格数量
43,67,1,0,1,买家要求改商品信息,买家咨询能否开发票及发票类型和寄送时间
43,59,1,0,1,买家要求改商品信息,买家咨询换货发货时间
43,53,1,0,1,买家要求改商品信息,买家咨询到货时间
44,74,0,1,1,买家要求改运费,买家咨询商家是否收到寄回的商品
3,60,1,0,1,买家表示不想要了,买家咨询活动规则
59,74,0,1,1,买家咨询换货发货时间,买家咨询商家是否收到寄回的商品
102,114,1,0,1,买家咨询是否有味道,买家咨询运费险赔付规则
30,31,0,1,1,买家催促回复,买家打招呼
3,31,0,1,1,买家表示不想要了,买家打招呼
3,116,1,0,1,买家表示不想要了,买家咨询赠品是否可以自选
3,72,1,0,1,买家表示不想要了,买家咨询如何下单
3,62,1,0,1,买家表示不想要了,买家咨询买多件能否优惠
5,110,1,0,1,买家表示好的,买家咨询退款时间
3,59,1,0,1,买家表示不想要了,买家咨询换货发货时间
3,36,1,0,1,买家表示不想要了,买家反馈收到的商品有问题
3,23,1,0,1,买家表示不想要了,买家表示要重拍
104,108,1,0,1,买家咨询退换货规则,买家咨询退款金额
104,107,1,0,1,买家咨询退换货规则,买家咨询退货退款原因选什么
19,104,0,1,1,买家表示无法下单,买家咨询退换货规则
9,104,0,1,1,买家表示拍错了,买家咨询退换货规则
24,102,0,1,1,买家表示已经收到货了,买家咨询是否有味道
