label,label_des,count
116,买家咨询赠品是否可以自选,8
11,买家表示商家发错地址,16
101,买家咨询是否有实体店,17
68,买家咨询能否提前享受优惠,18
70,买家咨询如何加入会员,18
115,买家咨询赠品何时发货,19
63,买家咨询哪款更好,19
18,买家表示无法申请退款,19
34,买家发送开票信息,20
51,买家要求延长收货时间,21
100,买家咨询是否有买家秀,21
35,买家发送支付宝账号,23
117,买家咨询自己的旺旺昵称,24
107,买家咨询退货退款原因选什么,26
10,买家表示伤心难过,28
87,买家咨询商品是否有质保，质保多久,29
27,买家表示有疑问/不理解,29
45,买家要求核对订单信息,29
91,买家咨询什么颜色好看,30
8,买家表示马上下单付款,31
39,买家向商家表达不好意思,32
95,买家咨询是否可以拒收,32
17,买家表示送人的,33
42,买家要求发货检查,34
33,买家发送结束语,36
96,买家咨询是否可以微信支付,36
84,买家咨询商品是不是预售款,36
44,买家要求改运费,37
76,买家咨询商品产地,37
41,买家要求补偿,38
26,买家表示优惠券无法使用,38
64,买家咨询能否到付,38
6,买家表示具体时间寄回去,39
85,买家咨询商品是否可以单买/单卖,42
16,买家表示收件信息不需要修改了,45
19,买家表示无法下单,45
13,买家表示商品已经寄回去了,45
2,买家表达赞美/满意,46
14,买家表示稍等,48
83,买家咨询商品上新时间,48
72,买家咨询如何下单,48
21,买家表示先买来试试,49
103,买家咨询退换货地址,50
56,买家咨询返现方式,50
113,买家咨询运费金额,50
69,买家咨询偏远地区是否发货,50
37,买家确认地址是否修改成功,51
112,买家咨询优惠券使用规则,52
61,买家咨询快递单号,53
81,买家咨询商品具体尺码尺寸,54
57,买家咨询返现金额,56
32,买家对特定款式/颜色表达喜好,56
30,买家催促回复,57
28,买家表示再看看,59
98,买家咨询是否有好评返现,61
4,买家表示地址正确,62
40,买家需要商品推荐,65
108,买家咨询退款金额,66
109,买家咨询退款去向,68
58,买家咨询返现时间,72
9,买家表示拍错了,74
62,买家咨询买多件能否优惠,74
80,买家咨询商品价格,74
93,买家咨询是否可以发顺丰,75
47,买家要求添加商家微信,75
88,买家咨询商品是什么颜色,77
25,买家表示已下单付款,77
24,买家表示已经收到货了,77
89,买家咨询商品质量是否有保障,78
106,买家咨询退换货支持快递,78
20,买家表示物流太慢了,79
102,买家咨询是否有味道,79
94,买家咨询是否可以改价,80
48,买家要求退运费,82
53,买家咨询到货时间,82
15,买家表示是老顾客,83
43,买家要求改商品信息,83
59,买家咨询换货发货时间,84
50,买家要求延迟发货,84
66,买家咨询能否分开/一起发货,84
12,买家表示商家发错货了,85
92,买家咨询是否可以打折,86
52,买家咨询补货/上货时间,90
0,买家抱怨商品涨价了,91
75,买家咨询商品包装,91
114,买家咨询运费险赔付规则,94
5,买家表示好的,95
78,买家咨询商品的色差问题,95
36,买家反馈收到的商品有问题,97
55,买家咨询发什么快递,102
31,买家打招呼,105
73,买家咨询商家发货地,108
77,买家咨询商品的材质/面料,110
74,买家咨询商家是否收到寄回的商品,111
38,买家讨价还价,112
23,买家表示要重拍,114
46,买家要求取消退换货退款,121
3,买家表示不想要了,124
111,买家咨询物流信息,132
110,买家咨询退款时间,137
7,买家表示麻烦卖家，表达感谢,138
71,买家咨询如何领取优惠券,145
104,买家咨询退换货规则,145
79,买家咨询商品规格数量,167
54,买家咨询发货时间,174
67,买家咨询能否开发票及发票类型和寄送时间,178
29,买家催促发货,186
99,买家咨询是否有活动,195
65,买家咨询能否定制,200
105,买家咨询退换货运费由谁承担,202
22,买家表示需要退货退款,203
86,买家咨询商品是否有赠品,212
90,买家咨询商品重量,214
1,买家表达不满/生气,238
49,买家要求修改收件信息,259
97,买家咨询是否可以指定快递,314
82,买家咨询商品区别,321
60,买家咨询活动规则,471
